STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,14C-DOC,14C-DOC_FLAG_W,THETA,SIG0,SALTREF,SALTREF_FLAG_W,BLACKC,BLACKC_FLAG_W,PIGMENTS,PIGMENTS_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
2,102,21,33RO20110926,        A10,1,2,11702,2,20110928,919,-28.7159,14.4665,263.0,218.8,8.907,34.7018,2,34.7028,2,138.0,2,138.1,2,15.8,2,26.1,2,0.18,2,1.852,2,2.593,2,1.393,2,0.788,2,2202.7,2,2296.4,2,,9,,7.5994,2,25.0,,9,,9,,9,,9,,1.197,3,,9,,9,,9,218.8,,9,8.8834,26.903,34.8665,2,,9,,9,,,9,,20.441,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,101,22,33RO20110926,        A10,1,1,11701,2,20110928,919,-28.7159,14.4665,263.0,256.7,8.1702,34.6395,2,34.6411,2,127.3,2,125.0,2,19.1,2,29.1,2,0.1,2,2.062,2,2.295,6,1.209,6,0.655,6,2215.7,2,2296.5,6,,9,,7.5513,6,25.0,,9,,9,,9,,9,,1.16,3,,9,,9,,9,256.7,,9,8.144,26.971,34.8045,2,,9,,9,,,9,,23.298,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,122,23,33RO20110926,        A10,1,22,11712,2,20110928,1118,-28.817,14.1836,,5.1,15.1473,35.1835,2,,9,249.7,2,,9,4.8,2,4.5,2,0.17,2,0.455,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,1.28,2,52.9,2,2.6,,9,,9,,9,,9,5.1,,9,15.1465,26.084,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
3,121,24,33RO20110926,        A10,1,21,11010,2,20110928,1118,-28.817,14.1836,,4.8,15.1627,35.1838,2,35.1867,2,249.7,2,255.3,2,4.8,2,4.6,2,0.17,2,0.452,2,2.775,6,1.639,6,1.593,6,2081.2,2,2323.6,2,,9,,7.9309,2,25.0,,9,,9,,9,,9,,2.861,3,,9,56.5561,2,8.45,2,4.8,,9,15.1619,26.093,35.3526,2,,9,,9,,,9,,8.426,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,120,25,33RO20110926,        A10,1,20,11715,2,20110928,1118,-28.817,14.1836,,29.6,15.0383,35.1861,2,,9,251.2,2,,9,4.8,6,4.6,6,0.17,6,0.453,6,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,29.6,,9,15.0338,26.108,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
3,119,26,33RO20110926,        A10,1,19,11007,2,20110928,1118,-28.817,14.1836,,29.7,15.0393,35.1859,2,35.1881,2,251.2,2,254.9,2,4.8,2,4.6,2,0.17,2,0.456,2,2.788,2,1.633,2,1.598,2,2086.8,2,2326.4,2,,9,,7.9268,2,25.0,,9,,9,,9,,9,,2.817,3,,9,56.9561,2,9.34,2,29.7,,9,15.0348,26.109,35.354,2,,9,,9,,,9,,8.499,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,118,27,33RO20110926,        A10,1,18,11710,2,20110928,1118,-28.817,14.1836,,69.9,14.5981,35.2336,2,,9,234.3,2,,9,3.5,2,6.2,2,0.45,2,0.577,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,69.9,,9,14.5877,26.242,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
3,117,28,33RO20110926,        A10,1,17,11023,2,20110928,1118,-28.817,14.1836,,69.7,14.6007,35.2335,2,35.2377,2,234.3,2,235.1,2,3.5,2,6.3,2,0.43,2,0.578,2,2.78,2,1.622,2,1.585,2,2104.5,2,2322.3,2,,9,,7.8948,2,25.0,,9,,9,,9,,9,,2.3,3,,9,61.7366,3,11.38,2,69.7,,9,14.5904,26.245,35.4039,2,,9,,9,,,9,,9.144,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,116,29,33RO20110926,        A10,1,16,11709,2,20110928,1118,-28.817,14.1836,,99.5,13.3092,35.1102,2,35.1207,2,219.0,2,218.4,2,4.9,2,10.3,2,0.02,2,0.791,2,2.931,2,1.691,2,1.43,2,2121.0,2,2314.3,2,,9,,7.8427,2,25.0,,9,,9,,9,,9,,1.824,3,,9,50.3707,2,13.97,2,99.5,,9,13.2953,26.427,35.2863,2,,9,,9,,,9,,10.47,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,115,30,33RO20110926,        A10,1,15,11006,2,20110928,1118,-28.817,14.1836,,119.6,12.4912,35.037,2,35.0384,2,210.2,2,209.3,2,5.5,6,12.4,6,0.03,6,0.923,6,3.006,2,1.724,2,1.34,2,2131.6,2,2309.4,2,,9,,7.8047,2,25.0,,9,,9,,9,,9,,1.419,3,,9,49.2293,2,17.11,2,119.6,,9,12.4752,26.526,35.2036,2,,9,,9,,,9,,11.45,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,114,31,33RO20110926,        A10,1,14,11708,2,20110928,1118,-28.817,14.1836,,149.4,11.7455,35.0052,2,35.0075,2,208.9,2,211.3,2,5.1,2,13.2,2,0.02,2,0.967,2,3.127,2,1.746,2,1.289,2,2133.5,2,,5,,9,,,9,25.0,,9,,9,,9,,9,,1.025,3,,9,56.7707,3,19.12,2,149.4,,9,11.7263,26.646,35.1726,2,,9,,9,,,9,,12.455,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,113,32,33RO20110926,        A10,1,13,11031,2,20110928,1118,-28.817,14.1836,,179.8,11.4676,34.9732,2,34.9746,2,213.1,2,212.0,2,5.4,2,14.0,2,0.01,2,1.003,2,3.102,2,1.757,2,1.273,2,2133.9,2,,5,,9,,7.7976,2,25.0,,9,,9,,9,,9,,0.994,3,,9,48.8976,2,17.32,2,179.8,,9,11.4449,26.675,35.1395,2,,9,,9,,,9,,12.154,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,112,33,33RO20110926,        A10,1,12,11027,2,20110928,1118,-28.817,14.1836,,210.8,10.7035,34.8753,2,34.8773,2,203.5,2,201.4,2,7.1,2,16.6,2,0.0,2,1.178,2,3.145,2,1.75,2,1.174,2,2145.8,2,2302.3,2,,9,,7.7505,2,25.0,,9,,9,,9,,9,,1.157,3,,9,51.1707,2,,9,210.8,,9,10.678,26.735,35.0417,2,,9,,9,,,9,,13.509,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,111,34,33RO20110926,        A10,1,11,11707,2,20110928,1118,-28.817,14.1836,,248.3,9.954,34.784,2,34.7865,2,205.9,2,208.9,2,7.5,2,17.7,2,0.01,2,1.235,2,3.231,2,1.765,2,1.154,2,2144.5,3,2298.6,2,,9,,7.7445,2,25.0,,9,,9,,9,,9,,1.284,3,,9,51.2293,2,,9,248.3,,9,9.9253,26.795,34.9505,2,,9,,9,,,9,,13.359,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,110,35,33RO20110926,        A10,1,10,11003,2,20110928,1118,-28.817,14.1836,,299.7,9.5782,34.7733,2,34.776,2,132.1,2,131.7,2,14.6,2,26.0,2,0.01,2,1.798,2,2.645,2,1.418,2,0.851,2,2200.4,3,2297.4,2,,9,,7.6004,2,25.0,,9,,9,,9,,9,,1.006,3,,9,47.3268,2,,9,299.7,,9,9.5443,26.853,34.94,2,,9,,9,,,9,,23.071,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,109,36,33RO20110926,        A10,1,9,11706,2,20110928,1118,-28.817,14.1836,,339.4,8.9668,34.7079,2,34.7101,2,135.3,2,134.5,2,15.7,6,27.3,6,0.01,6,1.867,6,2.583,2,1.374,2,0.728,2,2202.6,2,2295.8,2,,9,,7.5894,2,25.0,,9,,9,,9,,9,,1.075,3,,9,59.6,3,,9,339.4,,9,8.9299,26.903,34.8738,2,,9,,9,,,9,,22.775,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,108,37,33RO20110926,        A10,1,8,11033,2,20110928,1118,-28.817,14.1836,,389.2,8.3722,34.659,2,34.6625,2,124.1,2,123.2,2,17.5,2,29.8,2,0.0,2,2.027,2,2.291,2,1.202,2,0.6,2,2211.9,2,2294.5,2,,9,,7.5542,6,25.0,,9,,9,,9,,9,,1.036,3,,9,45.6293,2,,9,389.2,,9,8.3314,26.958,34.826,2,,9,,9,,,9,,25.216,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
