,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,HELIER,DELHER,ARGONER,KRYPTON,KRYPTON_FLAG_W,KRYPTONER,XENON,XENON_FLAG_W,XENONER,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,THETA,SALTREF,SALTREF_FLAG_W,SBE35,SBE35_FLAG_W,CHLORA,CHLORA_FLAG_W,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
20,1.0,4.0,21,33RO20150410,     P16N.1,1.0,4.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,3067.9,1.6645,34.6763,2.0,34.6759,2.0,163.2,2.0,163.1,2.0,126.4,6.0,34.9,6.0,0.0,6.0,3.13,4.0,0.003,3.0,0.0,2.0,0.121,3.0,2298.1,2.0,2394.9,2.0,7.5842,2.0,24.99,,9.0,,9.0,,9.0,1.6643,,9.0,,9.0,,,9.0,,37.2,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.4375,34.8394,2.0,,2.0,,9.0,20.804,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
21,1.0,3.0,22,33RO20150410,     P16N.1,1.0,3.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,3470.2,1.4898,34.6887,2.0,34.6884,2.0,174.3,2.0,174.0,2.0,125.0,6.0,34.1,6.0,0.0,6.0,3.08,4.0,0.022,3.0,0.002,2.0,0.085,3.0,2289.7,2.0,2388.3,2.0,7.5926,6.0,25.0,,9.0,,9.0,,9.0,1.4901,,9.0,,9.0,,,9.0,,38.9,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.2269,34.8519,2.0,,2.0,,9.0,20.034,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
22,1.0,2.0,23,33RO20150410,     P16N.1,1.0,2.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,3868.4,1.4671,34.6925,2.0,34.689,2.0,177.4,2.0,177.6,2.0,124.0,6.0,33.9,6.0,0.0,6.0,3.08,4.0,-0.002,3.0,0.002,2.0,0.046,3.0,2286.4,2.0,2386.7,6.0,7.5958,2.0,25.0,,9.0,,9.0,,9.0,1.4671,,9.0,,9.0,,,9.0,,40.8,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.1632,34.8525,3.0,,2.0,,9.0,19.801,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
23,1.0,1.0,24,33RO20150410,     P16N.1,1.0,1.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,4272.4,1.4433,34.6959,2.0,34.6956,2.0,181.4,2.0,182.4,2.0,124.3,2.0,33.5,2.0,0.01,2.0,3.06,4.0,-0.004,3.0,-0.001,6.0,0.0,6.0,2283.7,6.0,2388.0,2.0,7.5993,6.0,25.01,,9.0,,9.0,,9.0,1.4438,,9.0,,9.0,,,9.0,,41.6,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.0958,34.8592,6.0,,2.0,,9.0,19.6365,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
24,2.0,24.0,25,33RO20150410,     P16N.1,1.0,24.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,2.5,29.1043,35.8353,2.0,35.8324,2.0,192.7,2.0,193.2,2.0,1.2,2.0,0.0,2.0,0.0,2.0,0.13,4.0,1.324,3.0,0.917,6.0,1.235,6.0,2001.5,2.0,2357.6,6.0,8.1181,2.0,25.01,,9.0,,9.0,,9.0,29.1055,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,29.1037,36.0014,2.0,,2.0,,9.0,5.758,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
25,2.0,23.0,26,33RO20150410,     P16N.1,1.0,23.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,25.1,29.0955,35.8323,2.0,35.8314,2.0,193.4,2.0,193.6,2.0,0.8,2.0,0.0,2.0,0.0,2.0,0.12,4.0,,9.0,,9.0,,9.0,2002.6,2.0,2358.3,2.0,8.1184,2.0,25.0,,9.0,,9.0,,9.0,29.0944,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,29.0894,36.0004,2.0,,2.0,,9.0,,,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
26,2.0,22.0,27,33RO20150410,     P16N.1,1.0,22.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,50.6,28.6431,35.9456,2.0,36.0006,2.0,199.3,2.0,200.0,2.0,0.7,2.0,0.0,2.0,0.0,2.0,0.17,4.0,1.387,3.0,0.959,2.0,1.281,2.0,2014.0,3.0,2368.5,2.0,8.111,6.0,25.01,,9.0,,9.0,,9.0,28.6392,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,28.6309,36.1703,2.0,,2.0,,9.0,6.017,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
27,2.0,21.0,28,33RO20150410,     P16N.1,1.0,21.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,75.6,26.5136,36.2647,2.0,36.2633,2.0,195.4,2.0,195.5,2.0,1.0,2.0,0.0,2.0,0.01,2.0,0.16,4.0,,9.0,,9.0,,9.0,2049.9,3.0,2387.1,2.0,8.0786,6.0,25.0,,9.0,,9.0,,9.0,26.5539,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,26.4964,36.4343,2.0,,2.0,,9.0,,,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
28,2.0,20.0,29,33RO20150410,     P16N.1,1.0,20.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,100.2,25.2258,36.2649,2.0,36.2629,2.0,184.4,2.0,185.1,2.0,0.7,2.0,0.4,2.0,0.33,2.0,0.21,4.0,1.571,3.0,1.072,2.0,1.31,2.0,2086.4,3.0,2387.1,2.0,8.0464,6.0,25.0,,9.0,,9.0,,9.0,25.2269,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,25.2038,36.4339,2.0,,2.0,,9.0,6.651,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
29,2.0,19.0,30,33RO20150410,     P16N.1,1.0,19.0,2.0,20150411.0,1239.0,-15.9986,-149.9996,4333,126.1,24.1184,36.2329,2.0,36.237,2.0,174.9,2.0,174.6,2.0,0.8,2.0,2.0,2.0,0.32,2.0,0.27,4.0,,9.0,,9.0,,9.0,2086.3,3.0,2382.7,2.0,8.0164,2.0,25.0,,9.0,,9.0,,9.0,24.1323,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,24.0916,36.4078,6.0,,2.0,,9.0,,,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
