STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,THETA,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
2,122,27,33RO20100308,      A13.5,1,22,11712,2,20100314,1533,-53.5,0.0695,2538,81.6,2.2132,33.7634,2,33.7656,2,328.3,2,329.9,2,25.44,2,23.35,2,0.27,2,1.59,2,5.65,6,3.02,6,2.531,6,2151.4,2,2282.6,2,780.8,6,20.0,7.7205,2,25.0,,9,,9,,9,2.2127,2,,9,,9,,7.029,3,,9,,9,81.6,2.2089,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,121,28,33RO20100308,      A13.5,1,21,11010,2,20100314,1533,-53.5,0.0695,2538,124.9,-0.0455,33.9939,2,33.9967,2,302.2,2,304.3,6,50.8,2,29.08,2,0.19,2,2.07,2,0.0,4,0.001,4,0.017,4,2194.5,2,2293.2,2,993.2,2,20.0,7.6296,2,25.0,,9,,9,,9,-0.0438,2,,9,,9,,-0.003,4,,9,,9,124.9,-0.0498,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,120,29,33RO20100308,      A13.5,1,20,11715,4,20100314,1533,-53.5,0.0695,2538,176.1,0.5173,34.2762,4,33.9919,4,244.6,4,305.1,4,50.55,4,28.97,4,0.19,4,2.07,4,5.354,2,2.811,2,2.092,2,2191.8,4,2295.4,4,971.0,4,20.0,7.6303,2,25.0,,9,,9,,9,0.5041,2,,9,,9,,6.399,3,,9,,9,176.1,0.5102,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,119,30,33RO20100308,      A13.5,1,19,11007,2,20100314,1533,-53.5,0.0695,2538,223.4,1.0703,34.4254,2,34.4238,2,208.6,2,208.8,2,78.66,2,34.04,2,0.01,2,2.38,2,2.339,2,1.196,2,0.801,2,2244.2,2,2320.8,2,1224.8,2,20.0,7.5518,2,25.0,,9,,9,,9,1.0661,2,,9,,9,,2.669,3,,9,,9,223.4,1.0601,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,118,31,33RO20100308,      A13.5,1,18,11710,2,20100314,1533,-53.5,0.0695,2538,272.1,1.4738,34.5446,2,34.5429,2,188.4,2,187.4,2,85.58,2,34.51,2,0.0,2,2.42,2,1.44,2,0.729,2,0.458,2,2253.7,2,2330.5,2,1232.8,2,20.0,7.5465,2,25.0,,9,,9,,9,1.4722,2,,9,,9,,1.687,3,,9,,9,272.1,1.4603,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,117,32,33RO20100308,      A13.5,1,17,11023,2,20100314,1533,-53.5,0.0695,2538,350.2,1.658,34.625,2,34.6236,2,180.8,2,183.0,2,90.18,6,34.18,6,0.01,6,2.39,6,0.881,2,0.438,2,0.229,2,2258.1,6,2339.1,2,1226.7,2,20.0,7.5557,2,25.0,,9,,9,,9,1.6572,2,,9,,9,,1.059,3,,9,,9,350.2,1.6398,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,116,33,33RO20100308,      A13.5,1,16,11709,2,20100314,1533,-53.5,0.0695,2538,451.0,1.6626,34.6671,2,34.6657,2,183.0,2,181.6,2,92.5,2,33.41,2,0.0,2,2.33,2,0.65,2,0.321,2,0.073,2,2258.5,2,2339.6,2,1174.4,2,20.0,7.5697,2,25.0,,9,,9,,9,1.6623,2,,9,,9,,0.801,3,,9,,9,451.0,1.6387,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,115,34,33RO20100308,      A13.5,1,15,11006,2,20100314,1533,-53.5,0.0695,2538,551.9,1.6018,34.6901,2,34.6877,2,186.2,2,186.2,2,94.63,2,32.88,2,0.0,2,2.28,2,0.531,2,0.266,2,0.126,2,2257.4,2,2343.9,2,1141.2,2,20.0,7.5815,2,25.0,,9,,9,,9,1.6009,2,,9,,9,,0.67,3,,9,,9,551.9,1.5723,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,114,35,33RO20100308,      A13.5,1,14,11708,2,20100314,1533,-53.5,0.0695,2538,649.6,1.5305,34.7037,2,34.7019,2,189.8,2,189.8,2,96.37,2,32.44,2,0.0,2,2.26,2,0.464,2,0.231,2,0.046,2,2256.2,2,2347.8,2,1114.0,6,20.0,7.5895,2,25.0,,9,,9,,9,1.5301,2,,9,,9,,0.593,3,,9,,9,649.6,1.4956,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,113,36,33RO20100308,      A13.5,1,13,11031,2,20100314,1533,-53.5,0.0695,2538,750.4,1.433,34.7106,2,34.7092,2,193.0,2,205.2,4,98.38,2,32.14,2,0.0,2,2.24,2,0.424,2,0.216,2,0.128,2,2256.3,2,1897.2,4,1091.9,2,20.0,7.5959,2,25.0,,9,,9,,9,1.4326,2,,9,,9,,0.575,3,,9,,9,750.4,1.3926,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
