,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA,DELHER,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
21,1.0,21.0,22,096U20160426,       P15S,1.0,2021.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.4,1.794,34.733,2.0,34.7325,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5679,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
22,1.0,22.0,23,096U20160426,       P15S,1.0,2022.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.4,1.793,34.733,2.0,34.7329,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.567,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
23,1.0,28.0,24,096U20160426,       P15S,1.0,2028.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.6,1.792,34.733,2.0,34.7331,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.566,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
24,1.0,17.0,25,096U20160426,       P15S,1.0,2017.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.8,1.793,34.733,2.0,34.7332,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.037,2.0,0.019,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5669,,20.5478,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
25,1.0,18.0,26,096U20160426,       P15S,1.0,2018.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3026.0,1.793,34.733,2.0,34.734,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.036,2.0,0.019,2.0,0.013,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5669,,25.7524,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
26,1.0,26.0,27,096U20160426,       P15S,1.0,2026.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3026.3,1.794,34.733,2.0,34.5112,3.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5679,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
27,1.0,31.0,28,096U20160426,       P15S,1.0,2031.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3026.6,1.791,34.733,2.0,34.7333,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5649,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
28,1.0,30.0,29,096U20160426,       P15S,1.0,2030.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3026.7,1.791,34.733,2.0,34.7328,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5649,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
29,1.0,27.0,30,096U20160426,       P15S,1.0,2027.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3026.8,1.792,34.733,2.0,34.7326,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5659,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
30,1.0,29.0,31,096U20160426,       P15S,1.0,2029.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3028.0,1.791,34.733,2.0,34.7379,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5647,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
31,1.0,32.0,32,096U20160426,       P15S,1.0,2032.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3028.0,1.792,34.733,2.0,34.7331,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5657,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
32,1.0,33.0,33,096U20160426,       P15S,1.0,2033.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3028.7,1.791,34.733,2.0,34.7327,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5647,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
33,1.0,34.0,34,096U20160426,       P15S,1.0,2034.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3029.0,1.791,34.733,2.0,34.7331,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5647,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
34,1.0,36.0,35,096U20160426,       P15S,1.0,2036.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3029.0,1.791,34.733,2.0,34.7327,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5647,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
35,1.0,35.0,36,096U20160426,       P15S,1.0,2035.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3029.1,1.791,34.733,2.0,34.7332,2.0,192.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5646,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
36,2.0,36.0,37,096U20160426,       P15S,1.0,2036.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,5.8,-1.504,34.071,2.0,34.0868,2.0,355.4,2.0,345.6,2.0,63.77,2.0,28.4,2.0,0.22,2.0,1.98,2.0,6.08,2.0,3.23,2.0,3.559,2.0,2195.3,2.0,2303.6,2.0,7.6429,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,23.46,2.0,5.55,2.0,0.5,2.0,-0.01,3.0,-1.5041,,17.295,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
