,STNNBR,CASTNO,CTDPRS,Unnamed: 0,EXPOCODE,SECT_ID,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,SBE35,SBE35_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0,Cruise,N2O,d15Nbulk,d18O,SP,woce_lines,startDate,endDate,source,N2O_FLAG_W
614,17.0,1.0,2069.4,534,49NZ20070724,        P01,18.0,,2.0,18.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.8652,2.0,34.6065,2.0,34.6066,2.0,81.07,2.0,80.91,2.0,160.08,2.0,40.64,2.0,0.01,2.0,2.884,2.0,0.001,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.86508,2.0,0.47,0.15,0.01,0.017,,9.0,,,9.0,,1.7251,27.6777,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
615,17.0,1.0,2269.1,535,49NZ20070724,        P01,17.0,,2.0,17.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.7638,2.0,34.6258,2.0,34.626,2.0,94.54,2.0,94.7,2.0,158.66,2.0,39.77,2.0,0.01,2.0,2.817,2.0,0.001,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.76382,2.0,0.47,0.14,0.01,0.017,,9.0,,,9.0,,1.6083,27.7019,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
616,17.0,1.0,2470.4,536,49NZ20070724,        P01,16.0,,2.0,16.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.6757,2.0,34.6407,2.0,34.6408,2.0,106.11,2.0,106.16,2.0,157.04,2.0,39.05,2.0,0.01,2.0,2.762,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.67561,2.0,0.46,0.14,0.01,0.017,,9.0,,,9.0,,1.5041,27.7215,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
617,17.0,1.0,2670.2,537,49NZ20070724,        P01,15.0,,2.0,15.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.6189,2.0,34.6505,2.0,34.6505,6.0,114.49,2.0,114.44,2.0,155.95,2.0,38.51,2.0,0.01,2.0,2.719,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.61876,2.0,0.46,0.14,0.01,0.017,,9.0,,,9.0,,1.4304,27.7347,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
618,17.0,1.0,2869.4,538,49NZ20070724,        P01,14.0,,2.0,14.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.5692,2.0,34.6593,2.0,34.6591,2.0,123.1,2.0,123.09,2.0,153.74,2.0,37.98,2.0,0.01,2.0,2.682,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.56909,2.0,0.46,0.14,0.01,0.017,,9.0,,,9.0,,1.3633,27.7466,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
619,17.0,1.0,3078.8,539,49NZ20070724,        P01,13.0,,2.0,13.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.5328,2.0,34.6659,2.0,34.6659,2.0,130.02,2.0,130.09,2.0,152.38,2.0,37.56,2.0,0.01,2.0,2.645,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.53286,2.0,0.45,0.14,0.01,0.017,,9.0,,,9.0,,1.3078,27.7558,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
620,17.0,1.0,3329.2,540,49NZ20070724,        P01,12.0,,2.0,12.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.5013,2.0,34.6721,2.0,34.6721,2.0,136.31,2.0,136.41,2.0,150.94,2.0,36.94,2.0,0.02,2.0,2.605,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.50145,2.0,0.45,0.14,0.01,0.016,,9.0,,,9.0,,1.2524,27.7647,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
621,17.0,1.0,3581.1,541,49NZ20070724,        P01,11.0,,2.0,11.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.4779,2.0,34.6771,2.0,34.6771,2.0,142.21,2.0,142.1,2.0,149.92,2.0,36.65,2.0,0.01,2.0,2.582,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.4779,2.0,0.45,0.14,0.01,0.016,,9.0,,,9.0,,1.204,27.7721,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
622,17.0,1.0,3830.0,542,49NZ20070724,        P01,10.0,,2.0,10.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.464,2.0,34.6813,2.0,34.6813,2.0,146.97,2.0,146.92,2.0,148.7,2.0,36.41,2.0,0.01,2.0,2.552,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.46396,2.0,0.45,0.13,0.01,0.016,,9.0,,,9.0,,1.1644,27.7781,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
623,17.0,1.0,4080.1,543,49NZ20070724,        P01,9.0,,2.0,9.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.4602,2.0,34.6842,2.0,34.6845,2.0,151.09,2.0,150.9,2.0,147.78,2.0,36.09,2.0,0.01,2.0,2.536,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.46006,2.0,0.44,0.13,0.01,0.016,,9.0,,,9.0,,1.1337,27.7826,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
624,17.0,1.0,4330.9,544,49NZ20070724,        P01,8.0,,2.0,8.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.4618,2.0,34.6869,2.0,34.687,6.0,154.49,2.0,154.57,2.0,146.7,2.0,35.88,2.0,0.02,2.0,2.518,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.46166,2.0,0.44,0.13,0.01,0.016,,9.0,,,9.0,,1.1073,27.7866,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
625,17.0,1.0,4579.9,545,49NZ20070724,        P01,7.0,,2.0,7.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.4724,2.0,34.6888,2.0,34.6891,2.0,156.91,2.0,156.94,2.0,146.3,2.0,35.7,2.0,0.02,2.0,2.5,2.0,0.007,2.0,0.0,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.47219,2.0,0.44,0.13,0.01,0.016,,9.0,,,9.0,,1.089,27.7893,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
626,17.0,1.0,4831.5,546,49NZ20070724,        P01,6.0,,2.0,6.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.4908,2.0,34.6901,2.0,34.6904,2.0,158.29,2.0,158.39,2.0,146.18,2.0,35.62,2.0,0.02,2.0,2.497,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.49061,2.0,0.44,0.13,0.01,0.016,,9.0,,,9.0,,1.0772,27.7912,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
